C,Cr,Mn,Ni,Si,CR,Hardness,Hardness_sqrt
0.1,0,0.1,0,0,1,122.001,11.04540628
0.1,0,0.1,0,0,2,130.595,11.42781694
0.1,0,0.1,0,0,3,135.403,11.63627947
0.1,0,0.1,0,0,4,139.376,11.80576131
0.1,0,0.1,0,0,5,142.358,11.93138718
0.1,0,0.1,0,0,6,144.673,12.02800898
0.1,0,0.1,0,0,7,146.875,12.11919964
0.1,0,0.1,0,0,8,148.84,12.2
0.1,0,0.1,0,0,9,150.578,12.27102278
0.1,0,0.1,0,0,10,152.161,12.33535569
0.1,0,0.1,0,0,20,157.41,12.5463142
0.1,0,0.1,0,0,30,160.187,12.65650031
0.1,0,0.1,0,0,40,162.175,12.73479486
0.1,0,0.1,0,0,50,163.76,12.79687462
0.1,1,0.1,0,0,1,132.635,11.51672697
0.1,1,0.1,0,0,2,141.324,11.88797712
0.1,1,0.1,0,0,3,145.568,12.06515644
0.1,1,0.1,0,0,4,149.245,12.21658708
0.1,1,0.1,0,0,5,151.88,12.3239604
0.1,1,0.1,0,0,6,153.972,12.40854544
0.1,1,0.1,0,0,7,156,12.489996
0.1,1,0.1,0,0,8,157.706,12.55810495
0.1,1,0.1,0,0,9,157.878,12.56495125
0.1,1,0.1,0,0,10,160.225,12.65800142
0.1,1,0.1,0,0,20,175.825,13.25990196
0.1,1,0.1,0,0,30,185.751,13.62904986
0.1,1,0.1,0,0,40,193.213,13.90010791
0.1,1,0.1,0,0,50,199.302,14.11743603
0.1,10,0.1,0,0,1,201.762,14.20429513
0.1,10,0.1,0,0,2,395.517,19.88760921
0.1,10,0.1,0,0,3,437.185,20.90896937
0.1,10,0.1,0,0,4,446.33,21.12652361
0.1,10,0.1,0,0,5,449.362,21.1981603
0.1,10,0.1,0,0,6,450.68,21.22922514
0.1,10,0.1,0,0,7,451.397,21.24610553
0.1,10,0.1,0,0,8,451.817,21.25598739
0.1,10,0.1,0,0,9,452.054,21.26156156
0.1,10,0.1,0,0,10,452.214,21.26532389
0.1,10,0.1,0,0,20,452.659,21.27578436
0.1,10,0.1,0,0,30,452.716,21.27712387
0.1,10,0.1,0,0,40,452.728,21.27740586
0.1,10,0.1,0,0,50,452.746,21.27782884
0.1,0,0.1,5,0,1,167.034,12.92416342
0.1,0,0.1,5,0,2,156.617,12.51467139
0.1,0,0.1,5,0,3,156.711,12.51842642
0.1,0,0.1,5,0,4,156.773,12.52090252
0.1,0,0.1,5,0,5,156.829,12.52313858
0.1,0,0.1,5,0,6,156.877,12.52505489
0.1,0,0.1,5,0,7,156.921,12.52681125
0.1,0,0.1,5,0,8,154.988,12.44941766
0.1,0,0.1,5,0,9,156.433,12.50731786
0.1,0,0.1,5,0,10,157.384,12.545278
0.1,0,0.1,5,0,20,164.852,12.83947039
0.1,0,0.1,5,0,30,179.838,13.41036912
0.1,0,0.1,5,0,40,196.401,14.01431411
0.1,0,0.1,5,0,50,209.846,14.48606227
0.1,1,0.1,5,0,1,200.557,14.16181486
0.1,1,0.1,5,0,2,208.27,14.43156263
0.1,1,0.1,5,0,3,215.258,14.67167339
0.1,1,0.1,5,0,4,220.962,14.86479061
0.1,1,0.1,5,0,5,225.821,15.02734175
0.1,1,0.1,5,0,6,230.082,15.16845411
0.1,1,0.1,5,0,7,233.925,15.29460689
0.1,1,0.1,5,0,8,237.378,15.4070763
0.1,1,0.1,5,0,9,240.667,15.51344578
0.1,1,0.1,5,0,10,243.741,15.61220676
0.1,1,0.1,5,0,20,270.135,16.43578413
0.1,1,0.1,5,0,30,295.165,17.1803667
0.1,1,0.1,5,0,40,313.316,17.70073445
0.1,1,0.1,5,0,50,321.556,17.9319826
0.1,10,0.1,5,0,1,189.963,13.78270656
0.1,10,0.1,5,0,2,189.953,13.78234378
0.1,10,0.1,5,0,3,189.95,13.78223494
0.1,10,0.1,5,0,4,189.937,13.78176331
0.1,10,0.1,5,0,5,189.94,13.78187215
0.1,10,0.1,5,0,6,189.942,13.78194471
0.1,10,0.1,5,0,7,189.943,13.78198099
0.1,10,0.1,5,0,8,189.944,13.78201727
0.1,10,0.1,5,0,9,189.945,13.78205355
0.1,10,0.1,5,0,10,189.945,13.78205355
0.1,10,0.1,5,0,20,189.946,13.78208983
0.1,10,0.1,5,0,30,189.947,13.78212611
0.1,10,0.1,5,0,40,189.947,13.78212611
0.1,10,0.1,5,0,50,189.947,13.78212611
0.1,0,0.1,10,0,1,210.105,14.49499914
0.1,0,0.1,10,0,2,210.308,14.50199986
0.1,0,0.1,10,0,3,218.533,14.7828617
0.1,0,0.1,10,0,4,231.683,15.22113662
0.1,0,0.1,10,0,5,241.904,15.55326332
0.1,0,0.1,10,0,6,250.815,15.83713989
0.1,0,0.1,10,0,7,258.556,16.07967661
0.1,0,0.1,10,0,8,265.79,16.3030672
0.1,0,0.1,10,0,9,272.537,16.50869468
0.1,0,0.1,10,0,10,279.126,16.70706437
0.1,0,0.1,10,0,20,344.745,18.56730998
0.1,0,0.1,10,0,30,384.252,19.6023468
0.1,0,0.1,10,0,40,395.428,19.88537151
