C,Cr,Mn,Ni,Si,CR,Hardness
0.1,0,0.1,0,0,1,122.001
0.1,0,0.1,0,0,2,130.595
0.1,0,0.1,0,0,3,135.403
0.1,0,0.1,0,0,4,139.376
0.1,0,0.1,0,0,5,142.358
0.1,0,0.1,0,0,6,144.673
0.1,0,0.1,0,0,7,146.875
0.1,0,0.1,0,0,8,148.84
0.1,0,0.1,0,0,9,150.578
0.1,0,0.1,0,0,10,152.161
0.1,0,0.1,0,0,20,157.41
0.1,0,0.1,0,0,30,160.187
0.1,0,0.1,0,0,40,162.175
0.1,0,0.1,0,0,50,163.76
0.1,1,0.1,0,0,1,132.635
0.1,1,0.1,0,0,2,141.324
0.1,1,0.1,0,0,3,145.568
0.1,1,0.1,0,0,4,149.245
0.1,1,0.1,0,0,5,151.88
0.1,1,0.1,0,0,6,153.972
0.1,1,0.1,0,0,7,156
0.1,1,0.1,0,0,8,157.706
0.1,1,0.1,0,0,9,157.878
0.1,1,0.1,0,0,10,160.225
0.1,1,0.1,0,0,20,175.825
0.1,1,0.1,0,0,30,185.751
0.1,1,0.1,0,0,40,193.213
0.1,1,0.1,0,0,50,199.302
0.1,10,0.1,0,0,1,201.762
0.1,10,0.1,0,0,2,395.517
0.1,10,0.1,0,0,3,437.185
0.1,10,0.1,0,0,4,446.33
0.1,10,0.1,0,0,5,449.362
0.1,10,0.1,0,0,6,450.68
0.1,10,0.1,0,0,7,451.397
0.1,10,0.1,0,0,8,451.817
0.1,10,0.1,0,0,9,452.054
0.1,10,0.1,0,0,10,452.214
0.1,10,0.1,0,0,20,452.659
0.1,10,0.1,0,0,30,452.716
0.1,10,0.1,0,0,40,452.728
0.1,10,0.1,0,0,50,452.746
0.1,0,0.1,5,0,1,167.034
0.1,0,0.1,5,0,2,156.617
0.1,0,0.1,5,0,3,156.711
0.1,0,0.1,5,0,4,156.773
0.1,0,0.1,5,0,5,156.829
0.1,0,0.1,5,0,6,156.877
0.1,0,0.1,5,0,7,156.921
0.1,0,0.1,5,0,8,154.988
0.1,0,0.1,5,0,9,156.433
0.1,0,0.1,5,0,10,157.384
0.1,0,0.1,5,0,20,164.852
0.1,0,0.1,5,0,30,179.838
0.1,0,0.1,5,0,40,196.401
0.1,0,0.1,5,0,50,209.846
0.1,1,0.1,5,0,1,200.557
0.1,1,0.1,5,0,2,208.27
0.1,1,0.1,5,0,3,215.258
0.1,1,0.1,5,0,4,220.962
0.1,1,0.1,5,0,5,225.821
0.1,1,0.1,5,0,6,230.082
0.1,1,0.1,5,0,7,233.925
0.1,1,0.1,5,0,8,237.378
0.1,1,0.1,5,0,9,240.667
0.1,1,0.1,5,0,10,243.741
0.1,1,0.1,5,0,20,270.135
0.1,1,0.1,5,0,30,295.165
0.1,1,0.1,5,0,40,313.316
0.1,1,0.1,5,0,50,321.556
0.1,10,0.1,5,0,1,189.963
0.1,10,0.1,5,0,2,189.953
0.1,10,0.1,5,0,3,189.95
0.1,10,0.1,5,0,4,189.937
0.1,10,0.1,5,0,5,189.94
0.1,10,0.1,5,0,6,189.942
0.1,10,0.1,5,0,7,189.943
0.1,10,0.1,5,0,8,189.944
0.1,10,0.1,5,0,9,189.945
0.1,10,0.1,5,0,10,189.945
0.1,10,0.1,5,0,20,189.946
0.1,10,0.1,5,0,30,189.947
0.1,10,0.1,5,0,40,189.947
0.1,10,0.1,5,0,50,189.947
0.1,0,0.1,10,0,1,210.105
0.1,0,0.1,10,0,2,210.308
0.1,0,0.1,10,0,3,218.533
0.1,0,0.1,10,0,4,231.683
0.1,0,0.1,10,0,5,241.904
0.1,0,0.1,10,0,6,250.815
0.1,0,0.1,10,0,7,258.556
0.1,0,0.1,10,0,8,265.79
0.1,0,0.1,10,0,9,272.537
0.1,0,0.1,10,0,10,279.126
0.1,0,0.1,10,0,20,344.745
0.1,0,0.1,10,0,30,384.252
0.1,0,0.1,10,0,40,395.428
0.1,0,0.1,10,0,50,399.98
0.1,1,0.1,10,0,1,298.429
0.1,1,0.1,10,0,2,305.602
0.1,1,0.1,10,0,3,312.942
0.1,1,0.1,10,0,4,317.285
0.1,1,0.1,10,0,5,319.185
0.1,1,0.1,10,0,6,319.904
0.1,1,0.1,10,0,7,320.064
0.1,1,0.1,10,0,8,320.12
0.1,1,0.1,10,0,9,320.165
0.1,1,0.1,10,0,10,320.2
0.1,1,0.1,10,0,20,320.327
0.1,1,0.1,10,0,30,320.344
0.1,1,0.1,10,0,40,320.351
0.1,1,0.1,10,0,50,320.354
0.1,10,0.1,10,0,1,188.612
0.1,10,0.1,10,0,2,188.615
0.1,10,0.1,10,0,3,188.616
0.1,10,0.1,10,0,4,188.616
0.1,10,0.1,10,0,5,188.616
0.1,10,0.1,10,0,6,188.616
0.1,10,0.1,10,0,7,188.616
0.1,10,0.1,10,0,8,188.616
0.1,10,0.1,10,0,9,188.616
0.1,10,0.1,10,0,10,188.616
0.1,10,0.1,10,0,20,188.617
0.1,10,0.1,10,0,30,188.617
0.1,10,0.1,10,0,40,188.617
0.1,10,0.1,10,0,50,188.617
0.1,0,0.1,0,0,1,173.684
0.1,0,0.1,0,0,2,184.037
0.1,0,0.1,0,0,3,190.692
0.1,0,0.1,0,0,4,195.779
0.1,0,0.1,0,0,5,199.796
0.1,0,0.1,0,0,6,203.274
0.1,0,0.1,0,0,7,206.231
0.1,0,0.1,0,0,8,208.933
0.1,0,0.1,0,0,9,211.319
0.1,0,0.1,0,0,10,213.492
0.1,0,0.1,0,0,20,233.91
0.1,0,0.1,0,0,30,265.164
0.1,0,0.1,0,0,40,289.025
0.1,0,0.1,0,0,50,304.184
0.1,1,0.1,0,0,1,236.357
0.1,1,0.1,0,0,2,252.035
0.1,1,0.1,0,0,3,258.184
0.1,1,0.1,0,0,4,262.698
0.1,1,0.1,0,0,5,266.741
0.1,1,0.1,0,0,6,270.162
0.1,1,0.1,0,0,7,273.274
0.1,1,0.1,0,0,8,276.058
0.1,1,0.1,0,0,9,278.582
0.1,1,0.1,0,0,10,280.989
0.1,1,0.1,0,0,20,301.827
0.1,1,0.1,0,0,30,317.2
0.1,1,0.1,0,0,40,323.852
0.1,1,0.1,0,0,50,326.418
0.1,10,0.1,0,0,1,201.762
0.1,10,0.1,0,0,2,395.517
0.1,10,0.1,0,0,3,437.185
0.1,10,0.1,0,0,4,446.33
0.1,10,0.1,0,0,5,449.362
0.1,10,0.1,0,0,6,450.68
0.1,10,0.1,0,0,7,451.397
0.1,10,0.1,0,0,8,451.817
0.1,10,0.1,0,0,9,452.054
0.1,10,0.1,0,0,10,452.214
0.1,10,0.1,0,0,20,452.659
0.1,10,0.1,0,0,30,452.716
0.1,10,0.1,0,0,40,452.728
0.1,10,0.1,0,0,50,452.746
0.1,0,0.1,5,0,1,350.553
0.1,0,0.1,5,0,2,352.464
0.1,0,0.1,5,0,3,353.815
0.1,0,0.1,5,0,4,355.094
0.1,0,0.1,5,0,5,356.5
0.1,0,0.1,5,0,6,357.961
0.1,0,0.1,5,0,7,359.526
0.1,0,0.1,5,0,8,360.886
0.1,0,0.1,5,0,9,361.988
0.1,0,0.1,5,0,10,362.805
0.1,0,0.1,5,0,20,364.95
0.1,0,0.1,5,0,30,365.196
0.1,0,0.1,5,0,40,365.175
